PID,Run_Number,Correct_Response,Subject_Response,Correct,Response_Time,CR_time,WR_time,ISI
"TEST","1","3","3","T","546","546","0","2603"
"TEST","2","1","1","T","758","758","0","2612"
"TEST","3","2","2","T","522","522","0","2249"
"TEST","4","3","3","T","380","380","0","2933"
"TEST","5","1","1","T","497","497","0","1404"
"TEST","6","2","2","T","457","457","0","2539"
"TEST","7","1","1","T","586","586","0","1774"
"TEST","8","3","3","T","413","413","0","2384"
"TEST","9","1","1","T","510","510","0","1627"
"TEST","10","1","1","T","437","437","0","1707"
"TEST","11","1","1","T","328","328","0","1653"
"TEST","12","1","1","T","457","457","0","1693"
"TEST","13","2","2","T","499","499","0","2368"
"TEST","14","0","0","T","442","442","0","2151"
"TEST","15","2","2","T","446","446","0","2105"
"TEST","16","2","2","T","398","398","0","2480"
"TEST","17","0","0","T","456","456","0","1197"
"TEST","18","0","0","T","435","435","0","2189"
"TEST","19","3","3","T","360","360","0","2947"
"TEST","20","1","1","T","522","522","0","1817"
"TEST","21","3","3","T","353","353","0","2662"
"TEST","22","3","3","T","381","381","0","2625"
"TEST","23","0","0","T","404","404","0","1370"
"TEST","24","0","0","T","490","490","0","1200"
"TEST","25","2","2","T","460","460","0","2532"
"TEST","26","3","3","T","317","317","0","2063"
"TEST","27","1","1","T","484","484","0","1755"
"TEST","28","3","3","T","375","375","0","2744"
"TEST","29","1","1","T","545","545","0","1937"
"TEST","30","1","1","T","552","552","0","2875"
"TEST","31","1","1","T","427","427","0","2020"
"TEST","32","2","2","T","519","519","0","1058"
"TEST","33","3","3","T","379","379","0","2826"
"TEST","34","1","0","F","414","0","414","2287"
"TEST","35","0","0","T","414","414","0","1312"
"TEST","36","3","3","T","389","389","0","2930"
"TEST","37","3","3","T","429","429","0","2506"
"TEST","38","0","0","T","399","399","0","1143"
"TEST","39","1","1","T","527","527","0","1541"
"TEST","40","2","2","T","381","381","0","2689"
"TEST","41","3","3","T","380","380","0","1918"
"TEST","42","3","3","T","423","423","0","1378"
"TEST","43","1","1","T","511","511","0","2402"
"TEST","44","3","3","T","359","359","0","2411"
"TEST","45","3","3","T","364","364","0","2286"
"TEST","46","1","1","T","585","585","0","1430"
"TEST","47","0","0","T","476","476","0","2815"
"TEST","48","3","3","T","321","321","0","2619"
"TEST","49","0","0","T","409","409","0","1332"
"TEST","50","2","2","T","375","375","0","2699"
"TEST","51","2","2","T","400","400","0","2332"
"TEST","52","1","0","F","429","0","429","1687"
"TEST","53","0","0","T","499","499","0","1735"
"TEST","54","3","3","T","426","426","0","2774"
"TEST","55","0","0","T","454","454","0","2929"
"TEST","56","0","0","T","472","472","0","1478"
"TEST","57","0","0","T","422","422","0","1532"
"TEST","58","0","0","T","387","387","0","1158"
"TEST","59","1","1","T","493","493","0","1515"
"TEST","60","1","1","T","422","422","0","1866"
"TEST","61","3","3","T","385","385","0","2640"
"TEST","62","2","2","T","557","557","0","2169"
"TEST","63","1","1","T","573","573","0","1881"
"TEST","64","1","1","T","545","545","0","1850"
"TEST","65","1","1","T","428","428","0","1592"
"TEST","66","3","3","T","447","447","0","2695"
"TEST","67","3","3","T","363","363","0","2648"
"TEST","68","1","1","T","584","584","0","1654"
"TEST","69","1","1","T","480","480","0","2076"
"TEST","70","1","1","T","415","415","0","1037"
"TEST","71","0","0","T","587","587","0","1042"
"TEST","72","3","3","T","448","448","0","2549"
"TEST","73","2","2","T","534","534","0","2605"
"TEST","74","2","2","T","471","471","0","2487"
"TEST","75","2","2","T","511","511","0","1087"
"TEST","76","2","2","T","378","378","0","2533"
"TEST","77","1","1","T","620","620","0","2071"
"TEST","78","2","2","T","568","568","0","2040"
"TEST","79","2","2","T","382","382","0","2074"
"TEST","80","0","0","T","538","538","0","1351"
